,0,1
171,hfm=1.5_bcm=18.0_bksm=0.2_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,77
80,hfm=1.5_bcm=18.0_bksm=0.2_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,78
102,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,78
139,hfm=1.5_bcm=18.0_bksm=0.2_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,78
160,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,79
156,hfm=1.5_bcm=18.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,79
123,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,79
111,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,79
68,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,79
24,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,79
175,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,79
38,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,80
50,hfm=1.5_bcm=18.0_bksm=0.2_lscm=1.0_clem=2.25_pft=0.5_kde=25.0_characters.txt,80
43,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,80
163,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,80
56,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,80
199,hfm=1.5_bcm=18.0_bksm=0.2_lscm=1.0_clem=2.25_pft=0.3_kde=25.0_characters.txt,80
220,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,80
215,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,80
208,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,80
4,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,80
228,hfm=1.5_bcm=18.0_bksm=0.2_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,80
236,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,80
192,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,80
225,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,81
237,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,81
65,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,81
74,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,81
131,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,81
167,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,81
125,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,81
52,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=2.25_pft=0.3_kde=25.0_characters.txt,82
9,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,82
16,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,82
223,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,82
197,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=2.25_pft=0.5_kde=25.0_characters.txt,82
40,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,82
170,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,83
116,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,83
69,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,83
104,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.5_kde=25.0_characters.txt,83
94,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,83
98,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,83
165,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,83
168,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,83
151,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,83
129,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,83
227,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,83
134,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.3_kde=25.0_characters.txt,83
70,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,84
79,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,84
173,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,84
108,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,84
157,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,84
238,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,84
229,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.5_kde=25.0_characters.txt,84
86,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,84
113,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,84
159,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,84
181,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=2.25_pft=0.3_kde=25.0_characters.txt,84
184,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,84
119,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,84
132,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,84
1,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,84
91,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=2.25_pft=0.5_kde=25.0_characters.txt,84
49,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,84
206,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,84
99,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,84
37,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,85
190,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.3_kde=25.0_characters.txt,85
76,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,85
143,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.5_kde=25.0_characters.txt,85
85,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,85
3,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,85
44,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.5_kde=25.0_characters.txt,85
216,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,85
55,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,85
21,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,85
144,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,85
213,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,85
81,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,85
187,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,86
42,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,86
109,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,86
231,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,86
13,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,86
15,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,86
140,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,86
115,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.8_kde=25.0_characters.txt,86
61,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,86
219,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,86
36,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,86
166,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,86
105,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,86
130,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,87
97,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,87
121,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,87
212,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.5_kde=25.0_characters.txt,87
46,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,87
47,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,87
57,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.3_kde=25.0_characters.txt,87
149,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,87
33,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,87
189,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,87
8,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,87
90,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,87
226,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,87
41,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,88
103,hfm=1.5_bcm=8.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,88
217,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,88
100,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,88
58,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,88
22,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,88
142,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,88
64,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,88
158,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,89
71,hfm=1.5_bcm=18.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,89
11,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,89
30,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,89
152,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.8_kde=25.0_characters.txt,89
63,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.5_kde=25.0_characters.txt,89
